名稱,Day,日期,順序,類型,搜尋關鍵字,停留與車程,重點,官方連結
那霸機場（接機）,1,10/29,1,機場,那覇空港,出發點・下午抵達,接機上包車・裝3張兒童安全座椅,https://www.naha-airport.co.jp/
萬座毛,1,10/29,2,景點,万座毛,前段車程60分・停留40分,象鼻岩＋斷崖海景・必買黑糖海鹽紅芋塔,https://www.manzamo.jp/
星野BEB5沖繩瀨良垣（前2晚）,1,10/29,3,住宿,星野リゾート BEB5沖縄瀬良垣,前段車程15分・入住,公寓式附廚房大冰箱・恩納村瀨良垣,https://hoshinoresorts.com/zh_tw/hotels/beb5okinawaseragaki/
沖繩美麗海水族館,2,10/30,1,景點,沖縄美ら海水族館,前段車程60分・停留150分,鯨鯊黑潮之海・戶外免費海豚秀,https://churaumi.okinawa/tc/
古宇利島・古宇利大橋,2,10/30,2,景點,古宇利大橋,前段車程40分・停留90分,全長1960m跨海大橋絕景,https://www.kourijima.info/
古宇利海洋塔,2,10/30,3,景點,古宇利オーシャンタワー,島上順遊,360度海景展望台・貝殼博物館,https://www.kouri-oceantower.com/
殘波岬・殘波岬燈塔,3,10/31,1,景點,残波岬,前段車程15分・停留75分,巨大獅子與白色燈塔・推車友善,https://www.okinawastory.jp/spot/600014624
榮料理店（午餐）,3,10/31,2,餐廳,榮料理店 読谷,前段車程15分・午餐90分,精緻琉球料理・阿古豬涮涮鍋,
DMM Kariyushi水族館,3,10/31,3,景點,DMMかりゆし水族館,前段車程45分・停留120分,迷你豬餵食・觸摸互動・全室內,https://kariyushi-aquarium.com/
iias沖繩豐崎,3,10/31,4,購物,イーアス沖縄豊崎,與水族館共構,大型商場・餐飲・育嬰室,https://iias.jp/okinawatoyosaki/
美國村Depot Island,3,10/31,5,景點,美浜アメリカンビレッジ,前段車程30分・停留100分,萬聖節變裝發糖・夕陽・皮卡丘塗鴉,https://www.depot-island.co.jp/
OMO5沖繩那霸（後2晚）,3,10/31,6,住宿,OMO5沖縄那覇 by 星野リゾート,前段車程30分・入住,鄰國際通・距機場約15分,https://hoshinoresorts.com/zh_tw/hotels/omo5okinawanaha/
波上宮,4,11/1,1,景點,波上宮,前段車程10分・停留30分,琉球八社之首,https://naminouegu.jp/
國際通,4,11/1,2,景點,国際通り 那覇,前段車程10分・停留90分,那霸最大繁華街約1.6km・週日部分步行者天國,https://www.kokusaidori.org/
瀨長島Umikaji Terrace,4,11/1,3,景點,瀬長島ウミカジテラス,前段車程15分・停留60分,海景商店街・近機場看飛機,https://www.umikajiterrace.com/
Ashibinaa Outlet,4,11/1,4,購物,沖縄アウトレットモールあしびなー,前段車程5分・停留90分,沖繩唯一大型Outlet,https://www.ashibinaa.com/lang/tw/
AEON MALL來客夢Rycom（雨備）,4,11/1,5,雨備,イオンモール沖縄ライカム,距OMO5約25分,巨型魚缸・頂級育嬰室・免費兒童推車,https://okinawarycom-aeonmall.com/
港川外人住宅區,5,11/2,1,景點,港川外人住宅街 浦添市,前段車程15分・停留60分,美軍住宅改建文青聚落,https://www.okinawastory.jp/spot/600014653
SAN-A浦添西海岸PARCO CITY,5,11/2,2,購物,サンエー浦添西海岸パルコシティ,前段車程10分・停留120分,縣內最大約250店,https://www.parcocity.jp/
那霸機場（返家）,5,11/2,3,機場,那覇空港,前段車程15分,返程,https://www.naha-airport.co.jp/
